what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1299847365458
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1299847365487
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1299847365511
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1299847365535
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1299847365603
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1299847365631
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1299847365639
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1299847365639
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1299847365674
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1299847365689
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1299847365719
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1299847365740
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1299847365775
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1299847365780
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1299847365800
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1299847365824
os,sysinfo,,,"macosx",1299847365827
arch,sysinfo,,,"x86",1299847365827
ws,sysinfo,,,"cocoa",1299847365827
locale,sysinfo,,,"it_IT",1299847365827
processors,sysinfo,,,"2",1299847365827
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1299847365827
java.runtime.version,sysinfo,,,"1.6.0_22-b04-307-10M3261",1299847365827
java.specification.name,sysinfo,,,"Java Platform API Specification",1299847365827
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1299847365827
java.specification.version,sysinfo,,,"1.6",1299847365827
java.vendor,sysinfo,,,"Apple Inc.",1299847365827
java.version,sysinfo,,,"1.6.0_22",1299847365827
java.vm.info,sysinfo,,,"mixed mode",1299847365827
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1299847365827
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1299847365827
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1299847365827
java.vm.specification.version,sysinfo,,,"1.0",1299847365827
java.vm.vendor,sysinfo,,,"Apple Inc.",1299847365827
java.vm.version,sysinfo,,,"17.1-b03-307",1299847365827
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1299847365881
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1299847365942
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1299847366072
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1299847366097
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1299847366532
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1299847366551
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1299847366946
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1299847367072
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1299847367092
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1299847375060
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1299847375956
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299847379445
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1299847380797
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299847474232
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1299847474266
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1299847492351
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299847492481
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1299847493232
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1299847493283
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1299847493329
